link,sentiment,hourGroup_aprem,hourGroup_finAprem,hourGroup_matin,hourGroup_nuit,hourGroup_soirTard,hourGroup_tresTot,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,season_automne,season_ete,season_hiver,season_printemps,timeSinceLastPost,nbCarac,nbHashtags,nbMentions,nbEmojis,relevantTopic_autre,relevantTopic_coupeDuMonde,relevantTopic_electionsParlementaires,relevantTopic_electionsPresidentielles,relevantTopic_guerreUkraine,relevantTopic_reformeRetraite,newspaper_lefigarofr,newspaper_lesechos,newspaper_lhumanitefr,newspaper_liberationfr,newspaper_valeurs_actuelles
CZHIGrzo6A0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4771,929,4,0,1,0,0,0,1,0,0,1,0,0,0,0
CZHns9iI_UV,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16629,447,3,0,0,1,0,0,0,0,0,1,0,0,0,0
CZJdu7OIPBK,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,61820,1492,3,0,1,0,0,1,0,0,0,1,0,0,0,0
CZKX5nqo_v2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30496,1075,3,0,1,1,0,0,0,0,0,1,0,0,0,0
CZKnG4HogGa,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8004,305,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CZMChCXIelx,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,47894,1155,7,0,1,0,0,0,0,1,0,1,0,0,0,0
CZMwZeXod69,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24055,1257,4,0,0,0,0,0,1,0,0,1,0,0,0,0
CZMylJooUQF,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1181,429,4,0,0,1,0,0,0,0,0,1,0,0,0,0
CZOlRXLIyiu,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,60094,1386,2,0,1,1,0,0,0,0,0,1,0,0,0,0
CZOo7-OO62b,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2017,353,4,0,0,0,0,1,0,0,0,1,0,0,0,0
CZPfwVsoJva,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28646,1106,8,0,1,1,0,0,0,0,0,1,0,0,0,0
CZRLq2oIAJH,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56578,1448,9,0,1,0,0,0,1,0,0,1,0,0,0,0
CZRWp6aIRMC,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5759,1223,8,0,1,0,0,1,0,0,0,1,0,0,0,0
CZR6vFQoi4O,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18917,750,3,1,0,1,0,0,0,0,0,1,0,0,0,0
CZSHGYZIRgY,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6508,385,2,0,0,1,0,0,0,0,0,1,0,0,0,0
CZURDCQPmlB,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,72299,1299,5,0,1,0,0,1,0,0,0,1,0,0,0,0
CZUnHPNvf4q,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11569,1034,8,0,1,0,0,1,0,0,0,1,0,0,0,0
CZUwseDP0Gc,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5301,378,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CZWeOHQqEkd,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,57145,900,2,0,1,0,0,0,0,1,0,1,0,0,0,0
CZW50AKgTVg,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14686,333,3,0,0,1,0,0,0,0,0,1,0,0,0,0
