link,nb_likes,nb_post_comments,likesPerSubs,commentsPerSubs,subs
CZHIGrzo6A0,650,8,1763.7311800824293,21.70746067793759,0.36853688778673277
CZHns9iI_UV,242,2,656.6506855076121,5.4268651694843975,0.36853688778673277
CZJdu7OIPBK,1338,46,3630.572798385062,124.81789889814115,0.36853688778673277
CZKX5nqo_v2,1274,20,3456.913112961561,54.268651694843975,0.36853688778673277
CZKnG4HogGa,493,18,1337.722264277904,48.84178652535958,0.36853688778673277
CZMChCXIelx,984,46,2670.017663386324,124.81789889814115,0.36853688778673277
CZMwZeXod69,1235,42,3351.0892421566155,113.96416855917235,0.36853688778673277
CZMylJooUQF,457,18,1240.038691227185,48.84178652535958,0.36853688778673277
CZOlRXLIyiu,1209,39,3280.5399949533185,105.82387080494576,0.36853688778673277
CZOo7-OO62b,435,11,1180.3431743628564,29.847758432164188,0.36853688778673277
CZPfwVsoJva,1604,61,4352.345865926487,165.51938766927412,0.36853688778673277
CZRLq2oIAJH,1491,53,4045.7279838506183,143.81192699133655,0.36853688778673277
CZRWp6aIRMC,3566,112,9676.100597190682,303.9044494911263,0.36853688778673277
CZR6vFQoi4O,715,10,1940.1042980906723,27.134325847421987,0.36853688778673277
CZSHGYZIRgY,515,8,1397.4177811422323,21.70746067793759,0.36853688778673277
CZURDCQPmlB,1820,61,4938.447304230802,165.51938766927412,0.36853688778673277
CZUnHPNvf4q,1587,43,4306.217511985869,116.67760114391456,0.36853688778673277
CZUwseDP0Gc,494,8,1340.4356968626462,21.70746067793759,0.36853688778673277
CZWeOHQqEkd,1660,32,4504.29809067205,86.82984271175036,0.36853688778673277
CZW50AKgTVg,1137,20,3085.17284885188,54.268651694843975,0.36853688778673277
CZXZvXUI9jW,1919,103,5207.077130120279,279.4835562284465,0.36853688778673277
CZY8whIop4S,1231,25,3340.235511817647,67.83581461855498,0.36853688778673277
CZZCJSGoIoq,2195,48,5955.984523509126,130.24476406762554,0.36853688778673277
CZZb1xkKPhl,985,10,2672.7310959710658,27.134325847421987,0.36853688778673277
CZZxKyeI1Ay,439,4,1191.1969047018254,10.853730338968795,0.36853688778673277
CZbly5vIYY4,1270,96,3446.0593826225927,260.4895281352511,0.36853688778673277
CZcHlfaIxVo,366,8,993.1163260156447,21.70746067793759,0.36853688778673277
CZcMwj4oefP,2119,57,5749.763647068719,154.66565733030532,0.36853688778673277
CZeER_dMD2N,1397,51,3790.665320884852,138.38506182185213,0.36853688778673277
CZeS-h2skYq,2083,42,5652.080074018,113.96416855917235,0.36853688778673277
CZec0TSMASG,226,5,613.2357641517369,13.567162923710994,0.36853688778673277
CZetrvLI0LV,1517,53,4116.277231053916,143.81192699133655,0.36853688778673277
CZe7St5MRMG,2067,47,5608.665152662125,127.53133148288335,0.36853688778673277
CZgda-KofaF,902,91,2447.5161914374635,246.9223652115401,0.36853688778673277
CZgiSN8IaJx,366,8,993.1163260156447,21.70746067793759,0.36853688778673277
CZg1EVTMzx4,1802,74,4889.605517705442,200.7940112709227,0.36853688778673277
CZg4AY2IBLB,717,45,1945.5311632601565,122.10446631339894,0.36853688778673277
CZhfBIbo7_w,1953,46,5299.333838001515,124.81789889814115,0.36853688778673277
CZjHr2XItSj,1482,46,4021.3070905879385,124.81789889814115,0.36853688778673277
CZjX07yoG0j,890,15,2414.955000420557,40.701488771132986,0.36853688778673277
CZj55taoidr,1346,14,3652.2802590629994,37.988056186390786,0.36853688778673277
CZkBVWFoYQf,887,13,2406.8147026663305,35.274623601648585,0.36853688778673277
CZlwN5hMcYy,1987,123,5391.590545882749,333.7522079232905,0.36853688778673277
CZl9BZlJvj9,1985,65,5386.1636807132645,176.37311800824293,0.36853688778673277
CZmUNckr6In,2458,31,6669.6172932963245,84.11641012700817,0.36853688778673277
CZoRb62IiKz,1776,97,4819.056270502145,263.2029607199933,0.36853688778673277
CZodT0YMCvr,3145,20,8533.745479014215,54.268651694843975,0.36853688778673277
CZopYiBpJp8,1669,84,4528.71898393473,227.9283371183447,0.36853688778673277
CZpF-sSo8qF,1654,78,4488.017495163597,211.6477416098915,0.36853688778673277
CZrEiguIFAx,1923,67,5217.930860459249,181.7999831777273,0.36853688778673277
CZrKnK7rdpj,636,11,1725.7431238960385,29.847758432164188,0.36853688778673277
CZrWVZfol1s,2807,116,7616.605265371352,314.75817983009506,0.36853688778673277
CZtibZFvbtk,1357,35,3682.128017495164,94.97014046597695,0.36853688778673277
